date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2023-11-20,299.9,259.6,259.6,0,259.6,3145,31379,8284345.7
2023-11-21,254.5,233.7,233.8,259.6,-25.80000000000001,2789,27890,6713779
2023-11-22,257.1,225,257,233.8,23.19999999999999,2131,22578,5512824
2023-11-23,270,247,258.5,257,1.5,1464,20520,5312029
2023-11-26,263,244.1,254.9,258.5,-3.5999999999999943,1622,30077,7745314.9
2023-11-27,275,250.1,274,254.9,19.099999999999994,1876,41342,11073847.7
2023-11-28,284,267.7,284,274,10,1230,25969,7152222
2023-11-29,286,275.9,280,284,-4,864,21359,6023222.2
2023-11-30,281,266.3,279,280,-1,776,19130,5249216
2023-12-03,282.5,267.3,275.5,279,-3.5,714,11169,3024794
2023-12-04,282.5,271,280,275.5,4.5,972,27938,7770142
2023-12-05,285,276.2,281,280,1,569,11359,3166397.7
2023-12-06,280,275.5,279.9,281,-1.1000000000000227,383,6695,1859199
2023-12-07,280.8,270.4,273.9,279.9,-6,844,10464,2890622.2
2023-12-10,300,278,300,273.9,26.100000000000023,24,1090,316425
2023-12-11,306,283,293,300,-7,1162,22849,6596601
2023-12-12,306,283.1,296.9,293,3.8999999999999773,911,19737,5862480.4
2023-12-13,305.1,292,300,296.9,3.1000000000000227,767,24639,7402336.6
2023-12-14,330,291.4,328,300,28,897,25585,7979371.3
2023-12-17,350,308.9,342,328,14,839,18918,6250961.5
2023-12-18,348.8,325.7,347,342,5,751,19375,6425538
2023-12-19,340.1,320.1,330,347,-17,578,22170,7231114.2
2023-12-20,330,314.2,318,330,-12,602,29531,9492674.5
2023-12-21,339,311.8,328,318,10,728,30996,9950535.9
2023-12-24,360.8,331.7,355,328,27,998,66828,23805795.3
2023-12-27,390,351,366.5,355,11.5,990,30497,11480048.7
2023-12-28,369,354,361.8,366.5,-4.699999999999989,926,18434,6634955.7
2024-01-01,365,339,340,361.8,-21.80000000000001,811,29543,10414443.8
2024-01-02,339,323.2,329.5,340,-10.5,627,21885,7231635
2024-01-03,343,323.4,343,329.5,13.5,654,11460,3866478
2024-01-04,369,340,350,343,7,717,21250,7584619.7
2024-01-07,385,344.2,384,350,34,783,46818,16843468.3
2024-01-08,407.9,357,394,384,10,701,19742,7623127
2024-01-09,408.9,375.6,377,394,-17,475,16245,6314862.5
2024-01-10,399,366,397,377,20,610,21558,8107745.1
2024-01-11,420,373.1,401,397,4,577,30667,12253714.8
2024-01-14,441.1,400,441.1,401,40.10000000000002,861,61268,26142736.8
2024-01-16,459,431.4,437,441.1,-4.100000000000023,550,19810,8829905
2024-01-17,453,408.5,408.5,437,-28.5,959,30483,12967014
2024-01-18,432,400.4,427.3,408.5,18.80000000000001,1398,37921,15910945.3
2024-01-21,427,408,411,427.3,-16.30000000000001,730,19183,8015984
2024-01-22,425,395,410.9,411,-0.10000000000002274,762,17159,6954453.5
2024-01-23,421,403,413,410.9,2.1000000000000227,673,26890,11111642
2024-01-24,415,398,402,413,-11,380,6915,2798361
2024-01-25,417,390.2,401,402,-1,442,8605,3438454
2024-01-28,441.1,409,441.1,401,40.10000000000002,1454,81541,35178892
2024-01-29,449.9,433,436,441.1,-5.100000000000023,591,22351,9851141.2
2024-01-30,450,428.1,440,436,4,647,20153,8871110
2024-01-31,439,416,420,440,-20,416,22973,9760887.6
2024-02-01,428,401.1,418,420,-2,388,18809,7700824.9
2024-02-04,423.3,400,423.3,418,5.300000000000011,423,17280,7162303.5
2024-02-05,423.5,412.1,422,423.3,-1.3000000000000114,275,7486,3118587.6
2024-02-06,428,414,426.9,422,4.899999999999977,325,23078,9715847.7
2024-02-07,430,419.2,430,426.9,3.1000000000000227,330,12460,5285241.3
2024-02-08,436,420,430,430,0,353,13447,5758427
2024-02-11,448,414.6,427,430,-3,357,17958,7649001.1
2024-02-12,450,421.3,439.9,427,12.899999999999977,516,30821,13438705.3
2024-02-13,468.1,424.1,442,439.9,2.1000000000000227,721,81555,36686034.6
2024-02-14,456.8,434,454.9,442,12.899999999999977,473,28005,12484567
2024-02-15,478,441.1,462,454.9,7.100000000000023,729,46244,21358262
2024-02-18,471,434.6,444.5,462,-17.5,558,43249,19129178.6
2024-02-20,445,433.1,440,444.5,-4.5,461,15476,6776682.5
2024-02-21,455,425,438,440,-2,416,17745,7668453
2024-02-22,438.8,410.2,436,438,-2,474,15858,6710033.1
2024-02-25,438.8,414,424,436,-12,322,13360,5618588
2024-02-26,430,408.1,426,424,2,256,10588,4404601.2
2024-02-27,434,414.4,433,426,7,241,25385,10755666.2
2024-02-28,433.1,410.7,420,433,-13,156,6795,2819121.1
2024-02-29,420,395,420,420,0,196,12946,5229051.5
2024-03-03,425,391,398,420,-22,149,13813,5612996
2024-03-04,437,405,437,398,39,12,1160,497568
2024-03-05,445.7,411.3,416.9,437,-20.100000000000023,225,31612,13211965.3
2024-03-06,425,402.5,413,416.9,-3.8999999999999773,164,8897,3661037.7
2024-03-07,421,407.4,416.6,413,3.6000000000000227,161,12520,5168053.9
