date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2023-12-21,229.6,208.8,229.6,0,229.6,117,995,226869.3
2023-12-24,252.5,234.1,252.5,229.6,22.900000000000006,174,1461,367533.3
2023-12-27,277.7,252,277.7,252.5,25.19999999999999,150,1382,382642.2
2023-12-28,305.4,277.7,305.4,277.7,27.69999999999999,200,1963,598844.2
2024-01-01,335.9,311.5,335.9,305.4,30.5,247,2381,798723.3
2024-01-02,369.4,342.6,369.4,335.9,33.5,210,2040,752666
2024-01-03,406.3,376.7,406.3,369.4,36.900000000000034,260,2558,1038427.5
2024-01-04,446.9,414.4,446.9,406.3,40.599999999999966,240,2380,1062470
2024-01-07,491.5,455.8,491.5,446.9,44.60000000000002,234,2290,1123626.5
2024-01-08,540.6,481.8,540.6,491.5,49.10000000000002,315,3122,1685689.3
2024-01-09,594.6,551.2,594.6,540.6,54,235,2170,1288878.9
2024-01-10,654,594,654,594.6,59.39999999999998,208,2040,1332188.6
2024-01-11,719.4,655.4,719.4,654,65.39999999999998,221,2180,1566260
2024-01-14,791.3,733.7,791.3,719.4,71.89999999999998,260,2520,1990792.6
2024-01-16,870.4,791,870.4,791.3,79.10000000000002,214,2120,1842572.4
2024-01-17,957.4,887.8,957.4,870.4,87,760,7631,7303523.4
2024-01-18,996,861.7,902,957.4,-55.39999999999998,15494,170936,152836608.7
2024-01-21,915,885,892.6,902,-9.399999999999977,4646,47406,42479454.6
2024-01-22,889.6,836.6,855,892.6,-37.60000000000002,3015,57058,49415401.5
2024-01-23,876,838,875,855,20,2257,32691,28194529.6
2024-01-24,900,860,877.5,875,2.5,1345,25662,22679466.8
2024-01-25,891,858,865,877.5,-12.5,1149,27013,23529756.7
2024-01-28,871,849,860,865,-5,1304,21274,18249614.9
2024-01-29,892,850,857,860,-3,948,15019,12908121.5
2024-01-30,871.5,847.3,856,857,-1,920,19619,16921923.8
2024-01-31,850,798,836,856,-20,2168,56229,46741084
2024-02-01,837,815,820,836,-16,895,19467,15971286.5
2024-02-04,811.1,780,789,820,-31,869,18624,14789133.8
2024-02-05,804,767,767,789,-22,658,15739,12238316.9
2024-02-06,785.5,755.5,780,767,13,586,13235,10245541.5
2024-02-07,787,761.5,772.8,780,-7.2000000000000455,405,9480,7312224.5
2024-02-08,780,760,777,772.8,4.2000000000000455,399,6730,5205662
2024-02-11,785.4,761.5,765,777,-12,461,11267,8708271.8
2024-02-12,777,760,775,765,10,485,8881,6835694
2024-02-13,767,743.6,750,775,-25,429,14806,11177053.4
2024-02-14,751,733,734,750,-16,340,7944,5855828.5
2024-02-15,768,722.4,723.4,734,-10.600000000000023,499,12099,8922215.6
2024-02-18,717,695.8,699,723.4,-24.399999999999977,862,19487,13721797.1
2024-02-20,752.9,687,710,699,11,722,14096,9949040.2
2024-02-21,748.7,695.8,748.7,710,38.700000000000045,855,23600,17274834.4
2024-02-22,790,734.3,765,748.7,16.299999999999955,969,33368,25751714.3
2024-02-25,765.2,739,745,765,-20,590,26116,19678367.4
2024-02-26,815,739.2,802,745,57,903,31862,24654489.8
2024-02-27,815,780,800,802,-2,581,29229,23313669.6
2024-02-28,803.9,775,775,800,-25,255,13853,10852467.2
2024-02-29,775,731,739.9,775,-35.10000000000002,267,16256,12165718.7
2024-03-03,750,730,730.1,739.9,-9.799999999999955,229,10273,7566839.1
2024-03-04,803.1,744.7,800,730.1,69.89999999999998,13,640,501050
2024-03-05,808,746.5,755,800,-45,386,26085,20115000.8
2024-03-06,775.2,735.6,764,755,9,274,19053,14313323.5
2024-03-07,779.2,751.5,769,764,5,213,7574,5801665.7
2024-03-10,780,755,774,769,5,263,11430,8828153.3
2024-03-12,786.4,765.2,784.5,774,10.5,373,17561,13673379.4
2024-03-13,800,770.1,773,784.5,-11.5,267,16308,12717672.7
2024-03-14,788,761.1,770,773,-3,268,12839,9931938.1
2024-03-17,779,761,773.9,770,3.8999999999999773,268,8849,6809418.8
2024-03-18,780,763,766.5,773.9,-7.399999999999977,217,5544,4278270
2024-03-19,780,760,765,766.5,-1.5,239,8639,6632162.8
2024-03-20,777.9,735,761,765,-4,287,16977,12803109.7
2024-03-21,776.2,742,750,761,-11,146,5967,4460498.7
