date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2024-01-08,340.1,309.2,340.1,0,340.1,2260,30866,10404487.8
2024-01-09,374.1,346.9,374.1,340.1,34,892,10699,3996001.9
2024-01-10,411.5,381.5,411.5,374.1,37.39999999999998,1314,17004,6988635.2
2024-01-11,452.6,419.7,452.6,411.5,41.10000000000002,2337,37445,16939211.9
2024-01-14,497.8,461.6,497.8,452.6,45.19999999999999,2633,45684,22731110.1
2024-01-16,547.5,507.7,547.5,497.8,49.69999999999999,4261,70340,38499870.2
2024-01-17,602.2,558.4,602.2,547.5,54.700000000000045,48657,1093487,658490285.5
2024-01-18,661.5,558,653,602.2,50.799999999999955,154011,3044702,1844237328.5
2024-01-21,709,663,681,653,28,33833,827738,567910241.9
2024-01-22,675,641,646,681,-35,36353,1196355,786383492.5
2024-01-23,681,635,659.9,646,13.899999999999977,32011,841022,550980785.5
2024-01-24,674,655,657,659.9,-2.8999999999999773,15308,379833,251568067.7
2024-01-25,661,645.1,646.8,657,-10.200000000000045,15886,439859,286726529.5
2024-01-28,659.6,635.1,645,646.8,-1.7999999999999545,18816,521843,335345887.8
2024-01-29,684,645,669,645,24,23457,900511,601671809.2
2024-01-30,721,675.8,709.6,669,40.60000000000002,26218,1070172,752786918.2
2024-01-31,728,698,714.6,709.6,5,16262,889868,638782691.5
2024-02-01,722.1,695,695.1,714.6,-19.5,11344,769799,540184186.5
2024-02-04,700,680,688.1,695.1,-7,8702,486325,335832809.2
2024-02-05,700,685.1,685.5,688.1,-2.6000000000000227,6673,269982,185905014.1
2024-02-06,708,685.5,704.9,685.5,19.399999999999977,12997,481428,337602470
2024-02-07,714,695.2,696.1,704.9,-8.799999999999955,7095,354258,248268038.9
2024-02-08,709,688,689,696.1,-7.100000000000023,5482,273200,188790252.9
2024-02-11,731,691,694.9,689,5.899999999999977,12606,887170,624785368.6
2024-02-12,704,690,692.1,694.9,-2.7999999999999545,6144,331525,230235449.4
2024-02-13,692.1,672,672,692.1,-20.100000000000023,6804,478560,325045072.5
2024-02-14,680,666.5,668.1,672,-3.8999999999999773,5439,256176,171764880.3
2024-02-15,674,654.8,655.7,668.1,-12.399999999999977,7712,345592,228576267.1
2024-02-18,666,640.1,645.1,655.7,-10.600000000000023,18383,632757,409000252.3
2024-02-20,652.5,620,650,620.29,29.710000000000036,9087,493093,317370998.7
2024-02-21,662.9,633.1,633.2,650,-16.799999999999955,4865,173537,111228569.5
2024-02-22,637.9,617.6,624,633.2,-9.200000000000045,6958,237439,148797178.4
2024-02-25,632,607.5,607.6,624,-16.399999999999977,6218,179714,110155956.9
2024-02-26,616.8,604.9,616,607.6,8.399999999999977,3786,126929,77503822
2024-02-27,620,606,610,616,-6,2333,104494,64026939.4
2024-02-28,620,609,615,610,5,2542,131080,80689282.5
2024-02-29,620,604.9,605.4,615,-9.600000000000023,2207,131730,80335036.4
2024-03-03,613,595.2,595.6,605.4,-9.799999999999955,2817,138436,83016772.5
2024-03-04,652,607.5,622,595.6,26.399999999999977,224,46976,29975395.5
2024-03-05,633.9,610,613.5,622,-8.5,3274,206392,128174143.1
2024-03-06,631,608.1,624.9,613.5,11.399999999999977,3109,209585,130115577.2
2024-03-07,634,621,624,624.9,-0.8999999999999773,2295,104209,65281969.1
2024-03-10,630,618,620,624,-4,2490,114706,71551639.3
2024-03-12,635.5,620,635,620,15,3922,249989,157186727.7
2024-03-13,650,631.1,642,635,7,3723,319600,206338723.1
2024-03-14,644,628,630.5,642,-11.5,2413,155008,98412718.7
2024-03-17,635,619,620.5,630.5,-10,2696,162925,101830678
2024-03-18,630.2,618,621,620.5,0.5,2290,89790,55870099.8
2024-03-19,629.9,615,618,621,-3,2209,138176,86126806.3
2024-03-20,627,609,614.1,618,-3.8999999999999773,1882,120125,74049420.3
2024-03-21,618,605,606.5,614.1,-7.600000000000023,2204,157312,95976407.08
